iin	V(iin)	V(vout)	I(Iin)	I(Iout)	I(Vout)
5.324680000000035e-05	1.938287e+00	5.000000e+00	5.324680e-05	4.336809e-19	4.336809e-19
5.334670000000035e-05	1.935772e+00	5.000000e+00	5.334670e-05	-8.286373e-19	-8.286373e-19
5.344660000000036e-05	1.933258e+00	5.000000e+00	5.344660e-05	-1.084202e-19	-1.084202e-19
5.354650000000036e-05	1.930747e+00	5.000000e+00	5.354650e-05	-4.491141e-19	-4.491141e-19
5.364640000000036e-05	1.928236e+00	5.000000e+00	5.364640e-05	-5.266940e-19	-5.266940e-19
5.374630000000036e-05	1.925728e+00	5.000000e+00	5.374630e-05	2.556695e-19	2.556695e-19
5.384620000000037e-05	1.923221e+00	5.000000e+00	5.384620e-05	-5.032460e-19	-5.032460e-19
5.394610000000037e-05	1.920716e+00	5.000000e+00	5.394610e-05	-1.370582e-18	-1.370582e-18
5.404600000000037e-05	1.918213e+00	5.000000e+00	5.404600e-05	2.168404e-19	2.168404e-19
5.414590000000037e-05	1.915711e+00	5.000000e+00	5.414590e-05	5.421011e-20	5.421011e-20
5.424580000000037e-05	1.913211e+00	5.000000e+00	5.424580e-05	-1.502632e-18	-1.502632e-18
5.434570000000038e-05	1.910713e+00	5.000000e+00	5.434570e-05	1.084202e-19	1.084202e-19
5.444560000000038e-05	1.908216e+00	5.000000e+00	5.444560e-05	-1.572093e-18	-1.572093e-18
5.454550000000038e-05	1.905720e+00	5.000000e+00	5.454550e-05	1.409463e-18	1.409463e-18
5.464540000000038e-05	1.903227e+00	5.000000e+00	5.464540e-05	-1.192622e-18	-1.192622e-18
5.474530000000039e-05	1.900735e+00	5.000000e+00	5.474530e-05	5.421011e-20	5.421011e-20
5.484520000000039e-05	1.898244e+00	5.000000e+00	5.484520e-05	-4.185843e-19	-4.185843e-19
5.494510000000039e-05	1.895756e+00	5.000000e+00	5.494510e-05	1.029992e-18	1.029992e-18
5.504500000000039e-05	1.893268e+00	5.000000e+00	5.504500e-05	3.794708e-19	3.794708e-19
5.514490000000039e-05	1.890783e+00	5.000000e+00	5.514490e-05	-7.739613e-19	-7.739613e-19
5.524480000000040e-05	1.888299e+00	5.000000e+00	5.524480e-05	1.286048e-18	1.286048e-18
5.534470000000040e-05	1.885816e+00	5.000000e+00	5.534470e-05	1.246832e-18	1.246832e-18
5.544460000000040e-05	1.883335e+00	5.000000e+00	5.544460e-05	-5.963112e-19	-5.963112e-19
5.554450000000040e-05	1.880856e+00	5.000000e+00	5.554450e-05	1.138412e-18	1.138412e-18
5.564440000000041e-05	1.878379e+00	5.000000e+00	5.564440e-05	1.478565e-18	1.478565e-18
5.574430000000041e-05	1.875902e+00	5.000000e+00	5.574430e-05	-5.027581e-19	-5.027581e-19
5.584420000000041e-05	1.873428e+00	5.000000e+00	5.584420e-05	5.963112e-19	5.963112e-19
5.594410000000041e-05	1.870955e+00	5.000000e+00	5.594410e-05	-9.757820e-19	-9.757820e-19
5.604400000000041e-05	1.868483e+00	5.000000e+00	5.604400e-05	-6.357300e-19	-6.357300e-19
5.614390000000042e-05	1.866013e+00	5.000000e+00	5.614390e-05	-3.794708e-19	-3.794708e-19
5.624380000000042e-05	1.863545e+00	5.000000e+00	5.624380e-05	-1.301043e-18	-1.301043e-18
5.634370000000042e-05	1.861078e+00	5.000000e+00	5.634370e-05	-5.421011e-19	-5.421011e-19
5.644360000000042e-05	1.858613e+00	5.000000e+00	5.644360e-05	6.505213e-19	6.505213e-19
5.654350000000043e-05	1.856149e+00	5.000000e+00	5.654350e-05	-1.232167e-18	-1.232167e-18
5.664340000000043e-05	1.853687e+00	5.000000e+00	5.664340e-05	-1.772709e-19	-1.772709e-19
