iin	V(iin)	I(Iin)	I(Iout)	I(Vdd)	I(Vout)
1.948059999999998e-05	2.941561e+00	1.948060e-05	2.039262e-05	-3.987322e-05	2.039262e-05
1.958049999999998e-05	2.937832e+00	1.958050e-05	2.049566e-05	-4.007616e-05	2.049566e-05
1.968039999999998e-05	2.934112e+00	1.968040e-05	2.059869e-05	-4.027909e-05	2.059869e-05
1.978029999999998e-05	2.930399e+00	1.978030e-05	2.070172e-05	-4.048202e-05	2.070172e-05
1.988019999999998e-05	2.926695e+00	1.988020e-05	2.080473e-05	-4.068493e-05	2.080473e-05
1.998009999999997e-05	2.922998e+00	1.998010e-05	2.090773e-05	-4.088783e-05	2.090773e-05
2.007999999999997e-05	2.919309e+00	2.008000e-05	2.101073e-05	-4.109073e-05	2.101073e-05
2.017989999999997e-05	2.915628e+00	2.017990e-05	2.111372e-05	-4.129362e-05	2.111372e-05
2.027979999999997e-05	2.911955e+00	2.027980e-05	2.121669e-05	-4.149649e-05	2.121669e-05
2.037969999999997e-05	2.908289e+00	2.037970e-05	2.131966e-05	-4.169936e-05	2.131966e-05
2.047959999999997e-05	2.904631e+00	2.047960e-05	2.142262e-05	-4.190222e-05	2.142262e-05
2.057949999999997e-05	2.900980e+00	2.057950e-05	2.152557e-05	-4.210507e-05	2.152557e-05
2.067939999999997e-05	2.897336e+00	2.067940e-05	2.162851e-05	-4.230791e-05	2.162851e-05
2.077929999999997e-05	2.893701e+00	2.077930e-05	2.173145e-05	-4.251075e-05	2.173145e-05
2.087919999999996e-05	2.890072e+00	2.087920e-05	2.183437e-05	-4.271357e-05	2.183437e-05
2.097909999999996e-05	2.886451e+00	2.097910e-05	2.193729e-05	-4.291639e-05	2.193729e-05
2.107899999999996e-05	2.882837e+00	2.107900e-05	2.204019e-05	-4.311919e-05	2.204019e-05
2.117889999999996e-05	2.879230e+00	2.117890e-05	2.214309e-05	-4.332199e-05	2.214309e-05
2.127879999999996e-05	2.875630e+00	2.127880e-05	2.224598e-05	-4.352478e-05	2.224598e-05
2.137869999999996e-05	2.872037e+00	2.137870e-05	2.234886e-05	-4.372756e-05	2.234886e-05
2.147859999999996e-05	2.868452e+00	2.147860e-05	2.245173e-05	-4.393033e-05	2.245173e-05
2.157849999999996e-05	2.864873e+00	2.157850e-05	2.255460e-05	-4.413310e-05	2.255460e-05
2.167839999999995e-05	2.861301e+00	2.167840e-05	2.265745e-05	-4.433585e-05	2.265745e-05
2.177829999999995e-05	2.857736e+00	2.177830e-05	2.276030e-05	-4.453860e-05	2.276030e-05
2.187819999999995e-05	2.854178e+00	2.187820e-05	2.286314e-05	-4.474134e-05	2.286314e-05
