vdm	Ix(M1:DRAIN)	Ix(M2:SOURCE)
-6.239999999999825e-02	-8.900202e-13	-1.421492e-12
-6.199999999999825e-02	-8.911465e-13	-1.420538e-12
-6.159999999999825e-02	-8.922817e-13	-1.419577e-12
-6.119999999999826e-02	-8.934257e-13	-1.418608e-12
-6.079999999999826e-02	-8.945786e-13	-1.417633e-12
-6.039999999999826e-02	-8.957405e-13	-1.416650e-12
-5.999999999999826e-02	-8.969112e-13	-1.415659e-12
-5.959999999999827e-02	-8.980910e-13	-1.414661e-12
-5.919999999999827e-02	-8.992799e-13	-1.413656e-12
-5.879999999999827e-02	-9.004778e-13	-1.412643e-12
-5.839999999999827e-02	-9.016849e-13	-1.411623e-12
-5.799999999999828e-02	-9.029011e-13	-1.410595e-12
-5.759999999999828e-02	-9.041266e-13	-1.409560e-12
-5.719999999999828e-02	-9.053613e-13	-1.408518e-12
-5.679999999999828e-02	-9.066053e-13	-1.407467e-12
-5.639999999999828e-02	-9.078586e-13	-1.406409e-12
-5.599999999999829e-02	-9.091212e-13	-1.405344e-12
-5.559999999999829e-02	-9.103934e-13	-1.404270e-12
-5.519999999999829e-02	-9.116748e-13	-1.403190e-12
-5.479999999999829e-02	-9.129659e-13	-1.402101e-12
-5.439999999999830e-02	-9.142664e-13	-1.401005e-12
-5.399999999999830e-02	-9.155764e-13	-1.399901e-12
-5.359999999999830e-02	-9.168960e-13	-1.398789e-12
-5.319999999999830e-02	-9.182252e-13	-1.397669e-12
-5.279999999999831e-02	-9.195641e-13	-1.396542e-12
-5.239999999999831e-02	-9.209128e-13	-1.395406e-12
-5.199999999999831e-02	-9.222710e-13	-1.394263e-12
-5.159999999999831e-02	-9.236391e-13	-1.393113e-12
-5.119999999999832e-02	-9.250168e-13	-1.391953e-12
-5.079999999999832e-02	-9.264045e-13	-1.390787e-12
-5.039999999999832e-02	-9.278019e-13	-1.389612e-12
-4.999999999999832e-02	-9.292092e-13	-1.388429e-12
-4.959999999999833e-02	-9.306263e-13	-1.387239e-12
-4.919999999999833e-02	-9.320535e-13	-1.386040e-12
-4.879999999999833e-02	-9.334906e-13	-1.384834e-12
-4.839999999999833e-02	-9.349377e-13	-1.383619e-12
-4.799999999999834e-02	-9.363947e-13	-1.382396e-12
-4.759999999999834e-02	-9.378618e-13	-1.381166e-12
-4.719999999999834e-02	-9.393389e-13	-1.379927e-12
-4.679999999999834e-02	-9.408261e-13	-1.378681e-12
-4.639999999999835e-02	-9.423235e-13	-1.377426e-12
-4.599999999999835e-02	-9.438308e-13	-1.376163e-12
-4.559999999999835e-02	-9.453484e-13	-1.374892e-12
-4.519999999999835e-02	-9.468761e-13	-1.373613e-12
-4.479999999999836e-02	-9.484141e-13	-1.372326e-12
-4.439999999999836e-02	-9.499622e-13	-1.371031e-12
-4.399999999999836e-02	-9.515205e-13	-1.369728e-12
-4.359999999999836e-02	-9.530892e-13	-1.368417e-12
-4.319999999999836e-02	-9.546680e-13	-1.367097e-12
-4.279999999999837e-02	-9.562571e-13	-1.365770e-12
-4.239999999999837e-02	-9.578565e-13	-1.364434e-12
-4.199999999999837e-02	-9.594661e-13	-1.363091e-12
-4.159999999999837e-02	-9.610861e-13	-1.361739e-12
-4.119999999999838e-02	-9.627166e-13	-1.360379e-12
-4.079999999999838e-02	-9.643572e-13	-1.359011e-12
-4.039999999999838e-02	-9.660081e-13	-1.357635e-12
-3.999999999999838e-02	-9.676695e-13	-1.356251e-12
-3.959999999999839e-02	-9.693413e-13	-1.354858e-12
-3.919999999999839e-02	-9.710234e-13	-1.353458e-12
-3.879999999999839e-02	-9.727158e-13	-1.352049e-12
-3.839999999999839e-02	-9.744187e-13	-1.350633e-12
-3.799999999999840e-02	-9.761319e-13	-1.349208e-12
-3.759999999999840e-02	-9.778556e-13	-1.347776e-12
-3.719999999999840e-02	-9.795896e-13	-1.346335e-12
-3.679999999999840e-02	-9.813339e-13	-1.344886e-12
-3.639999999999841e-02	-9.830887e-13	-1.343430e-12
-3.599999999999841e-02	-9.848539e-13	-1.341965e-12
-3.559999999999841e-02	-9.866295e-13	-1.340492e-12
-3.519999999999841e-02	-9.884154e-13	-1.339012e-12
-3.479999999999842e-02	-9.902117e-13	-1.337523e-12
-3.439999999999842e-02	-9.920184e-13	-1.336026e-12
-3.399999999999842e-02	-9.938355e-13	-1.334522e-12
-3.359999999999842e-02	-9.956630e-13	-1.333010e-12
-3.319999999999843e-02	-9.975007e-13	-1.331489e-12
-3.279999999999843e-02	-9.993488e-13	-1.329961e-12
-3.239999999999843e-02	-1.001207e-12	-1.328426e-12
-3.199999999999843e-02	-1.003076e-12	-1.326882e-12
-3.159999999999843e-02	-1.004955e-12	-1.325331e-12
-3.119999999999843e-02	-1.006844e-12	-1.323771e-12
-3.079999999999843e-02	-1.008744e-12	-1.322205e-12
-3.039999999999843e-02	-1.010654e-12	-1.320630e-12
-2.999999999999843e-02	-1.012574e-12	-1.319048e-12
-2.959999999999843e-02	-1.014504e-12	-1.317458e-12
-2.919999999999843e-02	-1.016445e-12	-1.315861e-12
-2.879999999999843e-02	-1.018395e-12	-1.314256e-12
-2.839999999999843e-02	-1.020356e-12	-1.312643e-12
-2.799999999999843e-02	-1.022327e-12	-1.311023e-12
-2.759999999999842e-02	-1.024308e-12	-1.309396e-12
-2.719999999999842e-02	-1.026299e-12	-1.307761e-12
-2.679999999999842e-02	-1.028300e-12	-1.306119e-12
-2.639999999999842e-02	-1.030311e-12	-1.304470e-12
-2.599999999999842e-02	-1.032332e-12	-1.302813e-12
-2.559999999999842e-02	-1.034363e-12	-1.301149e-12
-2.519999999999842e-02	-1.036404e-12	-1.299478e-12
-2.479999999999842e-02	-1.038455e-12	-1.297800e-12
-2.439999999999842e-02	-1.040516e-12	-1.296115e-12
-2.399999999999841e-02	-1.042586e-12	-1.294422e-12
-2.359999999999841e-02	-1.044666e-12	-1.292723e-12
-2.319999999999841e-02	-1.046756e-12	-1.291017e-12
-2.279999999999841e-02	-1.048856e-12	-1.289304e-12
-2.239999999999841e-02	-1.050965e-12	-1.287583e-12
-2.199999999999841e-02	-1.053084e-12	-1.285857e-12
-2.159999999999841e-02	-1.055212e-12	-1.284123e-12
-2.119999999999841e-02	-1.057350e-12	-1.282383e-12
-2.079999999999841e-02	-1.059498e-12	-1.280637e-12
-2.039999999999841e-02	-1.061654e-12	-1.278883e-12
-1.999999999999840e-02	-1.063820e-12	-1.277123e-12
-1.959999999999840e-02	-1.065996e-12	-1.275357e-12
-1.919999999999840e-02	-1.068180e-12	-1.273585e-12
-1.879999999999840e-02	-1.070374e-12	-1.271806e-12
-1.839999999999840e-02	-1.072577e-12	-1.270021e-12
-1.799999999999840e-02	-1.074789e-12	-1.268230e-12
-1.759999999999840e-02	-1.077010e-12	-1.266433e-12
-1.719999999999840e-02	-1.079240e-12	-1.264630e-12
-1.679999999999840e-02	-1.081479e-12	-1.262820e-12
-1.639999999999840e-02	-1.083727e-12	-1.261005e-12
