vdm	V(n001)	I(V1)	I(V3)
-5.039999999999832e-02	2.534936e+00	6.555691e-09	2.689142e-08
-4.999999999999832e-02	2.534850e+00	6.618170e-09	2.682906e-08
-4.959999999999833e-02	2.534763e+00	6.681029e-09	2.676632e-08
-4.919999999999833e-02	2.534676e+00	6.744266e-09	2.670320e-08
-4.879999999999833e-02	2.534588e+00	6.807882e-09	2.663971e-08
-4.839999999999833e-02	2.534499e+00	6.871874e-09	2.657584e-08
-4.799999999999834e-02	2.534410e+00	6.936242e-09	2.651160e-08
-4.759999999999834e-02	2.534320e+00	7.000986e-09	2.644698e-08
-4.719999999999834e-02	2.534229e+00	7.066102e-09	2.638199e-08
-4.679999999999834e-02	2.534137e+00	7.131592e-09	2.631663e-08
-4.639999999999835e-02	2.534045e+00	7.197453e-09	2.625089e-08
